vehicle_category,year,vehicle_condition,vehicle_registrations,vehicle_receipts_€
Category D Exempt,2007,New,259,
Category D Exempt,2007,Used,102,
Category D Exempt,2008,New,248,
Category D Exempt,2008,Used,117,
Category D Exempt,2009,New,103,
Category D Exempt,2009,Used,81,
Category D Exempt,2010,New,63,
Category D Exempt,2010,Used,60,
Category D Exempt,2011,New,99,
Category D Exempt,2011,Used,63,
Category D Exempt,2012,New,35,
Category D Exempt,2012,Used,56,
Category D Exempt,2013,New,103,
Category D Exempt,2013,Used,49,
Category D Exempt,2014,New,73,
Category D Exempt,2014,Used,57,
Category D Exempt,2015,New,118,
Category D Exempt,2015,Used,59,
Category M Motor Cycles,2017,New,1477,1267736
Category M Motor Cycles,2017,Used,3714,957264
Category M Motor Cycles,2016,New,1624,1422326
Category M Motor Cycles,2016,Used,2547,690542
Category M Motor Cycles,2015,New,1259,1072419
Category M Motor Cycles,2015,Used,1874,428698
Category M Motor Cycles,2014,New,976,808423
Category M Motor Cycles,2014,Used,1921,447266
Category M Motor Cycles,2013,New,807,628748
Category M Motor Cycles,2013,Used,1779,404971
Category M Motor Cycles,2012,New,859,645310
Category M Motor Cycles,2012,Used,1667,374512
Category M Motor Cycles,2011,New,1059,749055
Category M Motor Cycles,2011,Used,2191,526883
Category M Motor Cycles,2010,New,1217,912019
Category M Motor Cycles,2010,Used,3570,799458
Category M Motor Cycles,2009,New,1745,1273160
Category M Motor Cycles,2009,Used,4792,1276956
Category M Motor Cycles,2008,New,3199,2486652
Category M Motor Cycles,2008,Used,5026,1560759
Category M Motor Cycles,2007,New,3551,2883926
Category M Motor Cycles,2007,Used,4434,1312898
Category M Motor Cycles,2006,New,3166,2383024
Category M Motor Cycles,2006,Used,4002,1154195
Category M Motor Cycles,2005,New,3142,2200984
Category M Motor Cycles,2005,Used,3806,1131463
Category M Motor Cycles,2004,New,3851,2176629
Category M Motor Cycles,2004,Used,606,974109
Category M Motor Cycles,2003,New,5020,2259892
Category M Motor Cycles,2003,Used,3933,1084140
Category M Motor Cycles,2002,New,6332,2740562
Category M Motor Cycles,2002,Used,4272,1134480
Category M Motor Cycles,2001,New,8344,3652038
Category M Motor Cycles,2001,Used,4488,1446214
Category M Motor Cycles,2000,New,8898,3653
Category M Motor Cycles,2000,Used,3633,1066357
